"covariateId","covariateName","analysisId","conceptId","covariateValue"
4118981702,"measurement during day -365 through 0 days relative to index: Hemoglobin variant test",702,4118981,-0.731399377533454
443612210,"condition_era group during day -365 through 0 days relative to index: Chronic kidney disease stage 4",210,443612,0.358401735607513
21603458410,"drug_era group during day -365 through 0 days relative to index: Substituted alkylamines",410,21603458,-0.31609295135922
21601634413,"drug_era group during day 0 through 0 days relative to index: ANTIVARICOSE THERAPY",413,21601634,-0.307322062193056
30137212712,"measurement within normal range during day -30 through 0 days relative to index: Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma",712,3013721,-0.301905312316141
21604389412,"drug_era group during day -30 through 0 days relative to index: ANTIEPILEPTICS",412,21604389,0.29797563968262
3000067704,"measurement during day -30 through 0 days relative to index: Parathyrin.intact [Mass/volume] in Serum or Plasma",704,3000067,-0.234837630147335
40993132712,"measurement within normal range during day -30 through 0 days relative to index: Urinalysis",712,4099313,0.234070030563364
4151358702,"measurement during day -365 through 0 days relative to index: Hematocrit determination",702,4151358,-0.233327968362646
30210442710,"measurement within normal range during day -365 through 0 days relative to index: Iron binding capacity [Mass/volume] in Serum or Plasma",710,3021044,-0.228593603977496
21605263410,"drug_era group during day -365 through 0 days relative to index: Drugs for treatment of hyperkalemia and hyperphosphatemia",410,21605263,-0.207693552718458
21604296410,"drug_era group during day -365 through 0 days relative to index: Other opioids",410,21604296,-0.189151915689849
30145762712,"measurement within normal range during day -30 through 0 days relative to index: Chloride [Moles/volume] in Serum or Plasma",712,3014576,-0.188162381943689
1192710410,"drug_era group during day -365 through 0 days relative to index: chlorpheniramine",410,1192710,-0.178607394371973
3032503704,"measurement during day -30 through 0 days relative to index: Calcium [Mass/volume] in Blood",704,3032503,-0.141362199791753
21602055413,"drug_era group during day 0 through 0 days relative to index: ANTIBIOTICS FOR TOPICAL USE",413,21602055,0.139534142484883
30136822710,"measurement within normal range during day -365 through 0 days relative to index: Urea nitrogen [Mass/volume] in Serum or Plasma",710,3013682,-0.136584125431352
30204603712,"measurement above normal range during day -30 through 0 days relative to index: C reactive protein [Mass/volume] in Serum or Plasma",712,3020460,-0.1327097348511
3026910702,"measurement during day -365 through 0 days relative to index: Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma",702,3026910,-0.123220535244916
4059452212,"condition_era group during day -30 through 0 days relative to index: Glomerular disease",212,4059452,0.121898294109409
4206591210,"condition_era group during day -365 through 0 days relative to index: Mass of trunk",210,4206591,-0.117974928350532
19024770410,"drug_era group during day -365 through 0 days relative to index: biotin",410,19024770,-0.11585212198525
30383153710,"measurement above normal range during day -365 through 0 days relative to index: Erythrocytes.dysmorphic/100 erythrocytes in Urine sediment by Light microscopy",710,3038315,0.111953944112655
21601131410,"drug_era group during day -365 through 0 days relative to index: OTHER ANTIANEMIC PREPARATIONS",410,21601131,-0.0882542556457577
40481807704,"measurement during day -30 through 0 days relative to index: Microscopic examination for dysmorphic red blood cells in urine specimen",704,40481807,0.0843937714423104
21601833413,"drug_era group during day 0 through 0 days relative to index: Angiotensin II receptor blockers (ARBs) and diuretics",413,21601833,-0.081938572563435
30231503710,"measurement above normal range during day -365 through 0 days relative to index: Myeloperoxidase Ab [Units/volume] in Serum",710,3023150,0.0805237726679787
42301602502,"procedure_occurrence during day -365 through 0 days relative to index: Chest[Direct],radiologist reading",502,42301602,-0.0794428887795852
30024002710,"measurement within normal range during day -365 through 0 days relative to index: Iron [Mass/volume] in Serum or Plasma",710,3002400,-0.0600704312975232
21602990410,"drug_era group during day -365 through 0 days relative to index: AMINOGLYCOSIDE ANTIBACTERIALS",410,21602990,0.0525665416169934
4230636704,"measurement during day -30 through 0 days relative to index: Alkaline phosphatase measurement",704,4230636,-0.052164309646428
30095421712,"measurement below normal range during day -30 through 0 days relative to index: Hematocrit [Volume Fraction] of Blood",712,3009542,-0.0463516941550579
21601635410,"drug_era group during day -365 through 0 days relative to index: Heparins or heparinoids for topical use",410,21601635,-0.041243914228623
